device_id,timestamp,meas_type,value,unit
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T23:59:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T00:09:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T00:29:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T00:39:21,PM25SENSOR,10.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T00:59:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T01:09:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T01:19:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T01:29:21,PM25SENSOR,9.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T01:39:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T01:59:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T02:09:21,PM25SENSOR,4.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T02:29:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T02:39:21,PM25SENSOR,4.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T02:59:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T03:09:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T03:19:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T03:29:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T03:39:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T03:59:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T04:09:21,PM25SENSOR,9.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T04:29:21,PM25SENSOR,4.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T04:39:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T04:59:21,PM25SENSOR,4.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T05:09:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T05:29:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T05:39:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T05:59:21,PM25SENSOR,4.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T06:09:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T06:29:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T06:39:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T06:59:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T07:09:21,PM25SENSOR,4.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T07:29:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T07:39:21,PM25SENSOR,9.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T07:59:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T08:09:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T08:29:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T08:39:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T08:59:21,PM25SENSOR,10.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T09:09:21,PM25SENSOR,9.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T09:29:21,PM25SENSOR,13.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T09:39:21,PM25SENSOR,13.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T09:59:21,PM25SENSOR,10.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T10:09:21,PM25SENSOR,10.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T10:29:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T10:39:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T10:59:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T11:09:21,PM25SENSOR,9.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T11:29:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T11:39:21,PM25SENSOR,12.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T11:59:21,PM25SENSOR,9.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T12:09:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T12:29:21,PM25SENSOR,9.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T12:39:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T12:59:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T13:09:21,PM25SENSOR,4.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T13:29:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T13:39:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T13:59:21,PM25SENSOR,4.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T14:09:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T14:29:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T14:39:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T14:59:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T15:09:21,PM25SENSOR,3.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T15:29:21,PM25SENSOR,4.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T15:39:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T15:59:21,PM25SENSOR,3.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T16:09:21,PM25SENSOR,3.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T16:29:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T16:39:21,PM25SENSOR,3.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T16:59:21,PM25SENSOR,3.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T17:09:21,PM25SENSOR,1.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T17:29:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T17:39:21,PM25SENSOR,4.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T17:59:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T18:09:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T18:29:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T18:39:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T18:59:21,PM25SENSOR,9.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T19:09:21,PM25SENSOR,10.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T19:29:21,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T19:39:21,PM25SENSOR,4.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T19:59:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-08T20:09:21,PM25SENSOR,7.0,µg/m3
